Gene	Num
ITGA4	32
MEGF10	32
FCRL5	32
OR2T33	32
MYO3A	32
INSRR	32
SEZ6L	32
FOLH1	32
GABRA4	32
MYOM2	32
OR2G2	32
SEMA6D	32
POTEE	32
SPAG17	32
DYNC2H1	32
DCAF12L1	32
PTPRC	32
OR8U1	32
MAGEB6B	32
MYO7B	32
PCDHA3	32
DYNC1H1	32
PCDHB11	32
CMYA5	32
OR2T4	31
KIF4B	31
SDK1	31
ITIH6	31
OR5L2	31
CFAP65	31
OR4C46	31
ASH1L	31
SLIT3	31
KLHL4	31
AMER3	31
CHD6	31
PCDHB2	31
ATRX	31
TPO	31
OR4C16	31
MYPN	31
KCNA4	31
NID1	31
DNAH2	31
ITPR2	31
PREX1	31
CD163L1	31
COL7A1	31
CDH11	31
DLGAP2	31
TENM4	31
RIMBP2	31
CCNB3	31
THBS2	31
WDR49	31
ROR2	31
FAM71B	31
IGSF10	31
SLITRK6	31
PIK3CG	31
GLI2	31
SATB2	31
PDE10A	31
MUC5AC	30
SCN5A	30
GABRA2	30
PCDHA5	30
SMG1	30
RANBP2	30
OR2L13	30
SCN7A	30
OR4A16	30
COL4A2	30
KIF21B	30
PCDHB6	30
KMT2A	30
DNAH10	30
SAMD9L	30
SCN11A	30
CMTR2	30
CDH2	30
LRRIQ3	30
PAK5	30
TRPC5	30
PCDHB9	30
GABRG1	30
SAMD9	30
CD163	30
ADGRL4	30
COL5A1	30
ZIC1	30
BRCA2	30
IRS4	30
PCDHB14	30
CHD7	30
FLNA	30
UBR5	30
FHOD3	30
ANKRD17	30
NAV2	30
OR4C6	30
ABCA10	30
PTCHD4	30
PLG	29
PCDHA6	29
ATP10B	29
OR2G6	29
CUX2	29
POLQ	29
SELP	29
ADAMTS19	29
DMXL1	29
DZIP3	29
C7	29
MKI67	29
RBM10	29
MED12L	29
DGKI	29
SLC17A6	29
POSTN	29
NTNG1	29
CNTN1	29
TRO	29
KCNJ3	29
DSCAML1	29
KIAA1210	29
IL1RAPL1	29
GABRB3	29
SHANK1	29
TRPV5	29
SEMA3A	29
BRINP2	29
TYR	29
TRIM58	29
NLGN1	29
OR2M4	29
ATP7A	29
BPTF	28
TBX22	28
HIVEP3	28
IQGAP2	28
F13A1	28
OR5D14	28
ADAMTSL1	28
TRPM1	28
REG3A	28
NFASC	28
STXBP5L	28
FSHR	28
RUNX1T1	28
ADAMTS18	28
SCN1A	28
FRYL	28
SPATA31E1	28
GRID1	28
RBP3	28
NCAN	28
LAMA3	28
ARPP21	28
NID2	28
CNKSR2	28
CARD11	28
HIVEP2	28
COL24A1	28
GALNT17	28
BSN	28
ST18	28
IGF2R	28
CACNA1B	28
NRG3	28
HECTD4	28
